listener_id,english,age,gender,race,ethnicity
10235098,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10235592,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10236319,Yes,21,Woman,White/Caucasian,Hispanic/Latino
10236926,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10237451,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10237592,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10237622,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10237634,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10237637,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10237661,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10237733,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10237772,Yes,20,Woman,Biracial or Multiracial,Not Hispanic/Latino
10237851,Yes,18,Woman,White/Caucasian,Hispanic/Latino
10237853,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10237978,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10238416,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10239370,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10243697,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10247720,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10248656,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10248710,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10249518,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10249588,Yes,21,Woman,Prefer not to say,Prefer not to say
10249734,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10250054,Yes,22,Woman,White/Caucasian,Prefer not to say
10260967,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10261157,Yes,21,Woman,Asian American,Not Hispanic/Latino
10261240,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10262284,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10263146,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10274392,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10277813,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10278702,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10264205,Yes,22,Woman,Biracial or Multiracial,Not Hispanic/Latino
10264253,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10278766,Yes,23,Woman,White/Caucasian,Not Hispanic/Latino
10281088,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10281250,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10284296,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10290998,Yes,22,Woman,Asian American,Not Hispanic/Latino
10292539,Yes,21,Woman,Asian American,Not Hispanic/Latino
10293418,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10293980,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10295475,Yes,20,Woman,White/Caucasian,Hispanic/Latino
10296186,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10296190,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10296365,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10301508,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10303471,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10303485,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10304013,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10304840,Yes,21,Woman,White/Caucasian,Hispanic/Latino
10305339,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10308235,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10308679,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10309345,Yes,20,Woman,Black/African American,Not Hispanic/Latino
10315584,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10316864,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10318669,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10296323,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10296281,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10296176,Yes,22,Woman,White/Caucasian,Hispanic/Latino
10278550,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10278525,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10277773,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10277632,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10275390,Yes,23,Woman,White/Caucasian,Not Hispanic/Latino
10250417,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10248167,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10247347,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10239629,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10239567,Yes,20,Woman,Biracial or Multiracial,Not Hispanic/Latino
10238724,Yes,19,Woman,White/Caucasian,Hispanic/Latino
10238463,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
10238223,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10238200,Yes,20,Woman,White/Caucasian,Not Hispanic/Latino
10237804,Yes,19,Woman,White/Caucasian,Not Hispanic/Latino
10296494,Yes,22,Woman,White/Caucasian,Not Hispanic/Latino
10296539,Yes,21,Woman,White/Caucasian,Not Hispanic/Latino
