item,label,class,summary,value
"","","",Rows in dataset,3318
"","","",Columns in dataset,9
listener_id,Listener ID,integer,mean,10267837
"","","",median,10263146
"","","",min,10235098
"","","",max,10318669
"","","",missing,0
counterbalance,Counterbalance List,factor,1a (1),252
"","","",1b (2),252
"","","",2a (3),210
"","","",2b (4),126
"","","",3a (5),168
"","","",3b (6),126
"","","",4a (7),126
"","","",4b (8),168
"","","",5a (9),252
"","","",5b (10),252
"","","",6a (11),252
"","","",6b (12),168
"","","",7a (13),168
"","","",7b (14),84
"","","",8a (15),84
"","","",8b (16),168
"","","",9a (17),252
"","","",9b (18),210
"","","",missing,0
trial_number,Trial Number in Block,integer,mean,11
"","","",median,11
"","","",min,1
"","","",max,21
"","","",missing,0
speaker_id,Speaker ID,character,unique responses,34
"","","",missing,0
time_point,Recording Time Point,factor,before (1),1085
"","","",sensors (2),1112
"","","",after (3),1121
"","","",missing,0
cp_section,Section of the Caterpillar Passage Presented to Listener,integer,mean,2
"","","",median,2
"","","",min,1
"","","",max,3
"","","",missing,0
rating,VAS Rating,integer,mean,77
"","","",median,90
"","","",min,0
"","","",max,100
"","","",missing,0
reliability,Reliability,factor,initial (1),2686
"","","",reliability (2),632
"","","",missing,0
rating_type,Rating Type,factor,intelligibility (1),1659
"","","",naturalness (2),1659
"","","",missing,0
